model,system,phase1_score,phase2_score,phase2_coverage,phase2_runtime_check_passed,phase3b_score,phase3_tv_rate,phase3_audit_run,phase3_final_score,overall_score,gen_tokens_in,gen_tokens_out,tv_agent_cost_usd,tv_agent_duration_s,best_run_spec_path,tv_workspace_path
claude,spin,,,,,,,False,,0.0,,,,,,
claude_opus_proxy,curp,1.0,0.0,0.0,False,,,False,,0.25,60537,1975,,,/home/ubuntu/SysMoBench/output/compilation_check/tla/curp/direct_call_claude_opus_proxy/20260418140004/curp.tla,tv-workspaces/20260419_011508_curp
claude_opus_proxy,dqueue,1.0,1.0,1.0,True,1.0,1.0,True,1.0,1.0,3825,1236,2.48853575,1139.421,/home/ubuntu/SysMoBench/output/compilation_check/tla/dqueue/direct_call_claude_opus_proxy/20260418132330/dqueue.tla,tv-workspaces/20260419_011620_dqueue
claude_opus_proxy,etcd,1.0,1.0,1.0,True,0.8461538461538461,1.0,True,0.8,0.9115384615384615,36561,5658,4.227878199999999,1712.313,/home/ubuntu/SysMoBench/output/compilation_check/tla/etcd/direct_call_claude_opus_proxy/20260418163225/etcdraft.tla,tv-workspaces/20260419_011621_etcdraft
claude_opus_proxy,locksvc,1.0,1.0,1.0,True,0.16666666666666666,1.0,True,1.0,0.7916666666666666,5844,1957,2.27306865,682.66,/home/ubuntu/SysMoBench/output/compilation_check/tla/locksvc/direct_call_claude_opus_proxy/20260418135157/locksvc.tla,tv-workspaces/20260419_011620_locksvc
claude_opus_proxy,mutex,1.0,0.0,0.0,False,,,False,,0.25,4290,1253,,,/home/ubuntu/SysMoBench/output/compilation_check/tla/mutex/direct_call_claude_opus_proxy/20260418131205/mutex.tla,tv-workspaces/20260419_011507_mutex
claude_opus_proxy,raftkvs,1.0,1.0,1.0,True,0.7333333333333333,0.9980392156862745,True,0.8,0.8833333333333333,50491,5896,4.220888150000001,1701.756,/home/ubuntu/SysMoBench/output/compilation_check/tla/raftkvs/direct_call_claude_opus_proxy/20260418153313/raftkvs.tla,tv-workspaces/20260419_011621_raftkvs
claude_opus_proxy,redisraft,1.0,0.0,0.0,False,,,False,,0.25,30915,8168,,,/home/ubuntu/SysMoBench/output/compilation_check/tla/redisraft/direct_call_claude_opus_proxy/20260418162248/redisraft.tla,tv-workspaces/20260419_011508_redisraft
claude_opus_proxy,ringbuffer,1.0,1.0,1.0,True,1.0,1.0,True,1.0,1.0,11564,755,1.824275599999999,702.851,/home/ubuntu/SysMoBench/output/compilation_check/tla/ringbuffer/direct_call_claude_opus_proxy/20260418133308/ringbuffer.tla,tv-workspaces/20260419_011620_ringbuffer
claude_opus_proxy,rwmutex,1.0,1.0,1.0,True,0.9,1.0,True,1.0,0.975,7911,1787,2.1716756999999998,1172.131,/home/ubuntu/SysMoBench/output/compilation_check/tla/rwmutex/direct_call_claude_opus_proxy/20260418131906/rwmutex.tla,tv-workspaces/20260419_011620_rwmutex
